Number,Time,y_1,v_1,a_1,y_2,v_2,a_2,y_3,v_3,a_3,
0,0.000,50.000,70.000,-706.664,0.000,70.000,-9.847,0.000,70.000,-9.810,
1,0.020,51.117,55.867,-450.946,1.396,69.803,-9.847,1.396,69.804,-9.810,
2,0.040,52.054,46.848,-317.780,2.788,69.606,-9.847,2.788,69.608,-9.810,
3,0.060,52.864,40.492,-237.984,4.176,69.409,-9.847,4.176,69.411,-9.810,
4,0.080,53.579,35.733,-185.831,5.561,69.212,-9.846,5.561,69.215,-9.810,
5,0.100,54.219,32.016,-149.635,6.941,69.015,-9.846,6.941,69.019,-9.810,
6,0.120,54.800,29.023,-123.376,8.317,68.818,-9.846,8.318,68.823,-9.810,
7,0.140,55.331,26.556,-103.662,9.690,68.621,-9.846,9.690,68.627,-9.810,
8,0.160,55.820,24.482,-88.451,11.058,68.425,-9.846,11.059,68.430,-9.810,
9,0.180,56.275,22.713,-76.449,12.423,68.228,-9.845,12.423,68.234,-9.810,
10,0.200,56.698,21.184,-66.801,13.783,68.031,-9.845,13.784,68.038,-9.810,
11,0.220,57.095,19.848,-58.921,15.140,67.834,-9.845,15.141,67.842,-9.810,
12,0.240,57.469,18.670,-52.396,16.493,67.637,-9.845,16.494,67.646,-9.810,
13,0.260,57.821,17.622,-46.929,17.842,67.440,-9.844,17.843,67.449,-9.810,
14,0.280,58.155,16.683,-42.300,19.186,67.243,-9.844,19.188,67.253,-9.810,
15,0.300,58.472,15.837,-38.345,20.527,67.046,-9.844,20.529,67.057,-9.810,
16,0.320,58.773,15.071,-34.938,21.864,66.849,-9.844,21.866,66.861,-9.810,
17,0.340,59.060,14.372,-31.980,23.197,66.653,-9.844,23.200,66.665,-9.810,
18,0.360,59.335,13.732,-29.396,24.527,66.456,-9.843,24.529,66.468,-9.810,
19,0.380,59.598,13.144,-27.125,25.852,66.259,-9.843,25.854,66.272,-9.810,
20,0.400,59.850,12.602,-25.117,27.173,66.062,-9.843,27.176,66.076,-9.810,
21,0.420,60.092,12.099,-23.334,28.490,65.865,-9.843,28.494,65.880,-9.810,
